               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.019262,           0.0084239,           0.0034449,              0.9664,             0.96254,             0.97728,             0.84848,            0.010938,           0.0024042,          0.00025223,            0.004852,            0.004852,            0.004852
                  80,            0.019821,            0.008474,           0.0037628,             0.93603,             0.97173,             0.97367,             0.84687,            0.010933,           0.0023811,          0.00022154,            0.004786,            0.004786,            0.004786
                  81,            0.019978,           0.0083725,           0.0038317,             0.95927,             0.99287,               0.995,             0.85481,           0.0095877,           0.0023661,          0.00060753,             0.00472,             0.00472,             0.00472
                  82,            0.019693,           0.0081823,            0.003019,             0.94478,              0.9665,             0.97367,             0.84372,            0.010378,           0.0024282,          0.00023603,            0.004654,            0.004654,            0.004654
                  83,            0.019118,           0.0079936,           0.0032894,             0.96165,             0.98281,               0.995,             0.85586,            0.010884,           0.0023208,          0.00019801,            0.004588,            0.004588,            0.004588
                  84,            0.018968,           0.0080734,           0.0032043,             0.97067,             0.95791,             0.97714,             0.84684,            0.010056,           0.0024144,          0.00019748,            0.004522,            0.004522,            0.004522
                  85,            0.020059,           0.0082474,            0.004192,             0.97631,             0.95941,             0.97731,              0.8452,           0.0094553,           0.0023878,          0.00013028,            0.004456,            0.004456,            0.004456
                  86,            0.018944,            0.008185,           0.0032638,             0.97747,             0.95806,             0.96328,             0.84083,            0.011077,           0.0024406,          0.00012667,             0.00439,             0.00439,             0.00439
                  87,            0.019408,           0.0082236,           0.0028741,               0.968,             0.96007,             0.97723,             0.84682,           0.0096517,           0.0024676,          0.00015447,            0.004324,            0.004324,            0.004324
                  88,            0.019051,           0.0078682,           0.0029891,             0.96547,             0.95997,             0.97724,             0.83968,            0.011157,            0.002328,          0.00016863,            0.004258,            0.004258,            0.004258
                  89,            0.018455,            0.007995,           0.0038076,             0.94889,             0.96723,             0.97729,             0.83847,            0.010099,           0.0022887,          0.00014585,            0.004192,            0.004192,            0.004192
                  90,            0.018352,           0.0080162,           0.0038192,              0.9691,             0.97919,               0.995,             0.85843,           0.0097288,           0.0022386,          0.00015077,            0.004126,            0.004126,            0.004126
                  91,            0.019076,           0.0081854,           0.0029867,             0.97452,             0.96318,             0.97739,             0.84442,           0.0093753,           0.0023378,          0.00012985,             0.00406,             0.00406,             0.00406
                  92,             0.01823,           0.0079746,           0.0031938,             0.96275,             0.96387,             0.97736,             0.85481,           0.0098115,           0.0023816,          0.00014988,            0.003994,            0.003994,            0.003994
                  93,            0.018063,           0.0080918,           0.0039689,             0.96112,             0.96544,             0.97726,             0.85986,           0.0097652,           0.0023541,          0.00011864,            0.003928,            0.003928,            0.003928
                  94,            0.018923,           0.0078933,           0.0037166,             0.95935,             0.98374,               0.995,              0.8495,           0.0098932,           0.0024445,          0.00018155,            0.003862,            0.003862,            0.003862
                  95,            0.019131,           0.0079498,           0.0034115,             0.96382,             0.96419,             0.97735,              0.8502,           0.0098463,           0.0024327,          0.00014765,            0.003796,            0.003796,            0.003796
                  96,            0.018753,           0.0078527,           0.0026447,             0.96814,             0.96228,             0.97928,             0.85315,           0.0093517,           0.0024004,          0.00014116,             0.00373,             0.00373,             0.00373
                  97,            0.018403,           0.0079858,           0.0026831,             0.96103,             0.98033,               0.995,             0.85483,            0.010067,           0.0023953,          0.00012313,            0.003664,            0.003664,            0.003664
                  98,            0.018136,           0.0079662,           0.0026962,             0.96014,             0.96725,             0.97737,             0.85664,            0.010095,           0.0024297,          0.00011349,            0.003598,            0.003598,            0.003598
                  99,            0.017896,           0.0077829,            0.002109,             0.97006,             0.96516,             0.97737,              0.8471,           0.0093986,           0.0024557,          0.00013011,            0.003532,            0.003532,            0.003532
                 100,            0.017921,           0.0077624,           0.0024516,             0.96669,             0.96548,             0.97732,             0.83776,            0.010331,           0.0024037,          0.00011789,            0.003466,            0.003466,            0.003466
                 101,            0.017946,           0.0078945,           0.0025278,             0.95834,             0.99106,               0.995,              0.8544,           0.0092504,            0.002403,          0.00027796,              0.0034,              0.0034,              0.0034
                 102,            0.017723,           0.0080405,           0.0020507,             0.95576,             0.98069,             0.97738,             0.85619,           0.0098258,            0.002397,          0.00011985,            0.003334,            0.003334,            0.003334
